"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.00898002419189966,-0.159204587395582,-0.157244387617346,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",0.0324129189873393,-0.003469279714928,-0.228362754393723,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",0.0306921017174872,0.0115897957943577,-0.0803547312785077,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",-0.132719046554317,-0.0611587747726133,-0.183952238138663,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",-0.0775660501052017,-0.0885627864776911,-0.142961711349069,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",-0.036610118450009,-0.0544042059052826,-0.121050917126302,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",-0.0951834101514603,-0.0260318614873017,-0.119474812901479,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",0.0720901347132512,0.00954139291308871,-0.189810270439543,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",-0.0417682251144395,-0.0273170019053464,-0.188627280258016,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",0.0243427095258332,0.00189354864816764,-0.204177004351567,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",0.0978904243635261,0.157486787329455,-0.0816954505081739,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
